OxySoft export of:	C:\Artinis NIRS\NIRS Data\NIRS_002_FP_03_11_15_2021
Export date:	2022/06/13 09:23:13
Start of measurement:	2021-11-15 14:19:19.309

Datafile sample rate:	10.00	Hz
Datafile duration:	1696.400	s
Datafile total number of samples:	16964

Description:	

Optode-template:	PortaMon TSI
Optode distance (mm):	 37.50
Optode gradients (mm):	 2.50
DPF:	4.00

Device id:	1329
# Receivers:	1
# Light sources:	6
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	759	nm
1	2	854	nm
1	3	759	nm
1	4	854	nm
1	5	761	nm
1	6	856	nm

Export sample rate:	10.00	Hz
Selected time span:	0	1696.400
Selected time span (sample numbers):	0	16964


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (Mov avg) (NIRS_002_FP_03_11_15_21)
3	Rx1-Tx1 HHb (Mov avg) (NIRS_002_FP_03_11_15_21)
4	Rx1-Tx2 O2Hb (Mov avg) (NIRS_002_FP_03_11_15_21)
5	Rx1-Tx2 HHb (Mov avg) (NIRS_002_FP_03_11_15_21)
6	Rx1-Tx3 O2Hb (Mov avg) (NIRS_002_FP_03_11_15_21)
7	Rx1-Tx3 HHb (Mov avg) (NIRS_002_FP_03_11_15_21)
8	Rx1-Tx1,Tx2,Tx3 TSI% (Mov avg) (NIRS_002_FP_03_11_15_21)
9	Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (Mov avg) (NIRS_002_FP_03_11_15_21)
10	(Event)


1	2	3	4	5	6	7	8	9	10
    47	-10.0596	-6.9916	-11.9930	-6.8312	-32.1517	-26.3765	69.9634	100.0000	
    48	-10.0611	-6.9938	-11.9926	-6.8345	-32.1517	-26.3765	69.9784	100.0000	
    49	-10.0625	-6.9960	-11.9933	-6.8375	-32.1517	-26.3765	69.9861	100.0000	
    50	-10.0672	-6.9978	-11.9960	-6.8416	-32.1517	-26.3765	70.0091	100.0000	
    51	-10.0732	-7.0004	-12.0018	-6.8453	-32.1517	-26.3765	70.0171	100.0000	
    52	-10.0800	-7.0034	-12.0081	-6.8494	-32.1517	-26.3765	70.0252	100.0000	
    53	-10.0834	-7.0070	-12.0114	-6.8540	-32.1517	-26.3765	70.0332	100.0000	
    54	-10.0843	-7.0101	-12.0117	-6.8577	-32.1517	-26.3765	70.0408	100.0000	
    55	-10.0844	-7.0128	-12.0112	-6.8611	-32.1517	-26.3765	70.0485	100.0000	
    56	-10.0871	-7.0145	-12.0133	-6.8648	-32.1517	-26.3765	70.0642	100.0000	
    57	-10.0899	-7.0176	-12.0178	-6.8677	-32.1517	-26.3765	70.0572	100.0000	
    58	-10.0940	-7.0203	-12.0216	-6.8714	-32.1517	-26.3765	70.0652	100.0000	
    59	-10.0955	-7.0225	-12.0224	-6.8743	-32.1517	-26.3765	70.0729	100.0000	
    60	-10.0936	-7.0238	-12.0189	-6.8769	-32.1517	-26.3765	70.0879	100.0000	
    61	-10.0890	-7.0248	-12.0147	-6.8778	-32.1517	-26.3765	70.0879	100.0000	
